t,P_p_bar
2.657241420820355415e-04,9.574960017098266690e+04
2.669692330528050661e-04,9.629650669074209873e+04
2.678088494576513767e-04,9.538240399464505026e+04
2.686562947928905487e-04,9.445172947668498091e+04
2.699425967875868082e-04,9.793888716775127978e+04
2.708066313061863184e-04,9.707690231216192478e+04
2.716725866775959730e-04,9.678204026670345047e+04
2.729752450250089169e-04,9.718044573100446723e+04
2.738462062552571297e-04,9.633493497090927849e+04
2.747192338574677706e-04,9.547862525849475060e+04
2.755943278316408396e-04,9.519728846947826969e+04
2.769110724329948425e-04,9.390171961253303743e+04
2.777917543426156044e-04,9.302630507015358307e+04
2.786748809739947319e-04,9.450061701694174553e+04
2.795606851577758789e-04,9.532179121069554822e+04
2.808955614455044270e-04,9.409098140461044386e+04
2.817895729094743729e-04,9.325820038152317284e+04
2.826863492373377085e-04,9.299553888604695385e+04
2.835858031176030636e-04,9.215451580760160869e+04
2.849401498679071665e-04,9.322670615444274154e+04
2.858465304598212242e-04,9.240965082611552498e+04
2.867557632271200418e-04,9.158151682155515300e+04
2.876679354812949896e-04,9.074318571381803486e+04
2.885830472223460674e-04,8.989537576369706949e+04
2.899619867093861103e-04,9.043542907991695392e+04
2.908860915340483189e-04,8.959724533545416489e+04
2.918141253758221865e-04,8.874825834744799067e+04
2.927461755461990833e-04,8.851486287801964500e+04
2.936823293566703796e-04,8.765712910509375797e+04
2.946227323263883591e-04,8.678860231368120003e+04
2.955681993626058102e-04,8.717581879251349892e+04
2.969972556456923485e-04,8.586978545639086224e+04
2.979586133733391762e-04,8.688353903119180177e+04
2.989272470586001873e-04,8.601870478141747299e+04
2.999033313244581223e-04,8.514072152030740108e+04
3.008870407938957214e-04,8.424973153783872840e+04
3.018786374013870955e-04,8.334679780377156567e+04
3.028782666660845280e-04,8.309312441270030104e+04
3.038861614186316729e-04,8.283952507514237368e+04
3.049025544896721840e-04,8.385065025230021274e+04
3.059276496060192585e-04,8.294622015433154593e+04
3.069617087021470070e-04,8.202730691956276132e+04
3.074821725022047758e-04,8.156280294182237412e+04
3.085300850216299295e-04,8.257711676500772592e+04
3.095876018051058054e-04,8.165573928784039163e+04
3.106549556832760572e-04,8.071921644153843226e+04
3.117324376944452524e-04,8.472392051897157216e+04
3.128203679807484150e-04,8.384554922273640113e+04
3.139189793728291988e-04,8.295128762067275238e+04
3.144724178127944469e-04,8.249863757567755238e+04
3.155877056997269392e-04,8.158155152090803313e+04
3.167144895996898413e-04,8.064936116999690421e+04
3.178530896548181772e-04,8.215114249627958634e+04
3.184269298799335957e-04,8.169361701857217122e+04
3.195821191184222698e-04,8.136696083894572803e+04
3.207408881280571222e-04,8.044215293512906646e+04
3.219026839360594749e-04,7.950823238986401702e+04
3.224847896490246058e-04,7.903777370846871054e+04
3.236513875890523195e-04,7.808957443350438552e+04
3.248213324695825577e-04,7.900759448511579831e+04
3.259946824982762337e-04,7.869136974112041935e+04
3.265826380811631680e-04,7.822520818966993829e+04
3.277611685916781425e-04,7.728604814684957091e+04
3.289432206656783819e-04,7.825172131535325025e+04
3.295356291346251965e-04,7.779021127932175295e+04
3.307231818325817585e-04,7.811809731123286474e+04
3.319145180284976959e-04,7.720169099126667425e+04
3.325116413179785013e-04,7.673991286509216297e+04
3.337089146953076124e-04,7.832153717928398692e+04
3.349102044012397528e-04,7.742462011687156337e+04
3.355123917572200298e-04,7.697267538067486021e+04
3.367197932675480843e-04,7.606234797457067179e+04
3.379312402103096247e-04,7.514326500877997023e+04
