t,R_s
1.848589308792725205e-04,4.846406152712707804e-01
1.858617906691506505e-04,4.861695917116800048e-01
1.868768449639901519e-04,4.877436868164020112e-01
1.879046030808240175e-04,4.893182877357462601e-01
1.889456034405156970e-04,4.908898537673566098e-01
1.897883339552208781e-04,4.924548442088764189e-01
1.908546400954946876e-04,4.940507905052836102e-01
1.919358619488775730e-04,4.956340914361320182e-01
1.928120327647775412e-04,4.972178981816030019e-01
1.939218200277537107e-04,4.987996816685845713e-01
1.948218123288825154e-04,5.004179849712989681e-01
1.959626679308712482e-04,5.020302184985454552e-01
1.968885771930217743e-04,5.036348648064568057e-01
1.978267537197098136e-04,5.052304064511660142e-01
1.987776631722226739e-04,5.068153259888059647e-01
1.999842497752979398e-04,5.083881059755098741e-01
2.009571035159751773e-04,5.099472289674106262e-01
2.019335515797138214e-04,5.115890020686016948e-01
2.029134484473615885e-04,5.131182819977844201e-01
2.038968814304098487e-04,5.146724480063861185e-01
2.048840979114174843e-04,5.162099221324507603e-01
2.058764948742464185e-04,5.177301985613557145e-01
2.068745670840144157e-04,5.192738436258128587e-01
2.078785473713651299e-04,5.207435385924839011e-01
2.088886394631117582e-04,5.221955300473729578e-01
2.099058037856593728e-04,5.236293121758578417e-01
2.109311608364805579e-04,5.250854513106502086e-01
2.119651908287778497e-04,5.265233811190381807e-01
2.127476618625223637e-04,5.279436074156443892e-01
2.138011623173952103e-04,5.293877081624249747e-01
2.148668572772294283e-04,5.308161286559130998e-01
2.159452851628884673e-04,5.322303863399757695e-01
2.167628263123333454e-04,5.336730708058136097e-01
2.178649447159841657e-04,5.351056389792050449e-01
2.189813967561349273e-04,5.365306199332611214e-01
2.198285219492390752e-04,5.379505427410938845e-01
2.209715603385120630e-04,5.393679364758149353e-01
2.218393201474100351e-04,5.407696499572434146e-01
2.227163786301389337e-04,5.421582122584912566e-01
2.239007153548300266e-04,5.435518327059623012e-01
2.248005475848913193e-04,5.449941125201023251e-01
2.257106243632733822e-04,5.463750876020150304e-01
2.269404940307140350e-04,5.477540394254382106e-01
2.278756146552041173e-04,5.491745692108177535e-01
2.288219984620809555e-04,5.505834652598835532e-01
2.297799364896491170e-04,5.519842682749919183e-01
2.307471731910482049e-04,5.533805189584991568e-01
