t,r_c
9.432009514081277115e-06,1.034883812838298528e-01
9.475394945461720761e-06,1.037975626785340721e-01
9.518732396586855143e-06,1.041067440732382915e-01
9.562022238148952101e-06,1.044159254679425108e-01
9.605264833680954330e-06,1.047251068626467302e-01
9.648460540224091501e-06,1.050342882573509495e-01
9.691609708800211242e-06,1.053434696520551689e-01
9.734712684343394784e-06,1.056526510467593882e-01
9.777769805903771720e-06,1.059618324414636076e-01
9.820781406851351706e-06,1.062710138361678269e-01
9.863747815079854474e-06,1.065801952308720463e-01
9.906669353210519508e-06,1.068893766255762656e-01
9.949546338795947910e-06,1.071985580202804850e-01
9.992379084523913779e-06,1.075077394149847043e-01
1.003516789842119421e-05,1.078169208096889098e-01
1.007791308399436991e-05,1.081261022043931430e-01
1.012061493585799165e-05,1.084352835990973485e-01
1.016327374458469774e-05,1.087444649938015817e-01
1.020588979882786166e-05,1.090536463885057872e-01
1.024846338323299849e-05,1.093628277832100204e-01
1.029099477862215050e-05,1.096720091779142259e-01
1.033348426217829971e-05,1.099811905726184591e-01
1.037593210762975179e-05,1.102903719673226646e-01
1.041833858543455199e-05,1.105995533620268978e-01
1.046070396296485887e-05,1.109087347567311033e-01
1.050302850469137552e-05,1.112179161514353365e-01
1.054531247236771140e-05,1.115270975461395420e-01
