t,R_c
1.928120327647775412e-04,4.661864745898359752e-01
1.939218200277537107e-04,4.681872749099639797e-01
1.948218123288825154e-04,4.691876750700280096e-01
1.959626679308712482e-04,4.711884753901560696e-01
1.968885771930217743e-04,4.721888755502200996e-01
1.978267537197098136e-04,4.721888755502200996e-01
1.987776631722226739e-04,4.721888755502200996e-01
1.999842497752979398e-04,4.751900760304121896e-01
2.009571035159751773e-04,4.781912765106042795e-01
2.019335515797138214e-04,4.781912765106042795e-01
2.029134484473615885e-04,4.781912765106042795e-01
2.038968814304098487e-04,4.811924769907963140e-01
2.048840979114174843e-04,4.821928771508603440e-01
2.058764948742464185e-04,4.841936774709884039e-01
2.068745670840144157e-04,4.841936774709884039e-01
2.078785473713651299e-04,4.871948779511804939e-01
2.088886394631117582e-04,4.891956782713085539e-01
2.099058037856593728e-04,4.891956782713085539e-01
2.109311608364805579e-04,4.931972789115646183e-01
2.119651908287778497e-04,4.931972789115646183e-01
2.127476618625223637e-04,4.931972789115646183e-01
2.138011623173952103e-04,4.961984793917567083e-01
2.148668572772294283e-04,4.961984793917567083e-01
2.159452851628884673e-04,4.961984793917567083e-01
2.167628263123333454e-04,4.981992797118847682e-01
2.178649447159841657e-04,5.002000800320127727e-01
2.189813967561349273e-04,5.002000800320127727e-01
2.198285219492390752e-04,5.002000800320127727e-01
2.209715603385120630e-04,5.032012805122049182e-01
2.218393201474100351e-04,5.032012805122049182e-01
2.227163786301389337e-04,5.062024809923969526e-01
2.239007153548300266e-04,5.072028811524610381e-01
2.248005475848913193e-04,5.072028811524610381e-01
2.257106243632733822e-04,5.092036814725890981e-01
2.269404940307140350e-04,5.142056822729091925e-01
2.278756146552041173e-04,5.142056822729091925e-01
2.288219984620809555e-04,5.172068827531012269e-01
2.297799364896491170e-04,5.202080832332933724e-01
2.307471731910482049e-04,5.202080832332933724e-01
2.317175094503909349e-04,5.202080832332933724e-01
2.326908143004402518e-04,5.212084833933573469e-01
2.339933416806161404e-04,5.252100840336134668e-01
2.349739370401948690e-04,5.252100840336134668e-01
2.359576610615476966e-04,5.282112845138055013e-01
2.369445865042507648e-04,5.282112845138055013e-01
2.379347715759649873e-04,5.292116846738695868e-01
2.389283035881817341e-04,5.322128851540616212e-01
2.399252989562228322e-04,5.322128851540616212e-01
2.409258304396644235e-04,5.322128851540616212e-01
2.419299999019131064e-04,5.322128851540616212e-01
2.429378946544602513e-04,5.362144857943177412e-01
2.439496311126276851e-04,5.362144857943177412e-01
2.449660678394138813e-04,5.362144857943177412e-01
2.459877287037670612e-04,5.372148859543818267e-01
2.466725127305835485e-04,5.392156862745097756e-01
2.477056696079671383e-04,5.422168867547019211e-01
2.487464225850999355e-04,5.422168867547019211e-01
2.497962268535047770e-04,5.422168867547019211e-01
2.508558682166039944e-04,5.422168867547019211e-01
2.519257250241935253e-04,5.422168867547019211e-01
2.526448515709489584e-04,5.422168867547019211e-01
2.537326945457607508e-04,5.492196878751500755e-01
2.548318880144506693e-04,5.492196878751500755e-01
2.559428685344755650e-04,5.492196878751500755e-01
2.566902840044349432e-04,5.492196878751500755e-01
2.578218991402536631e-04,5.492196878751500755e-01
2.589665527921169996e-04,5.522208883553421099e-01
2.597371349111199379e-04,5.522208883553421099e-01
2.609046059660613537e-04,5.522208883553421099e-01
2.616909041535109282e-04,5.532212885154061954e-01
2.628827060107141733e-04,5.532212885154061954e-01
2.636857097968459129e-04,5.572228891556623154e-01
2.649033849593251944e-04,5.572228891556623154e-01
2.657241420820355415e-04,5.572228891556623154e-01
2.669692330528050661e-04,5.602240896358543498e-01
2.678088494576513767e-04,5.602240896358543498e-01
2.686562947928905487e-04,5.602240896358543498e-01
2.699425967875868082e-04,5.682272909163665897e-01
2.708066313061863184e-04,5.682272909163665897e-01
2.716725866775959730e-04,5.692276910764305642e-01
2.729752450250089169e-04,5.722288915566227097e-01
2.738462062552571297e-04,5.722288915566227097e-01
2.747192338574677706e-04,5.722288915566227097e-01
2.755943278316408396e-04,5.732292917166866841e-01
2.769110724329948425e-04,5.732292917166866841e-01
2.777917543426156044e-04,5.732292917166866841e-01
2.786748809739947319e-04,5.772308923569428041e-01
2.795606851577758789e-04,5.802320928371348385e-01
2.808955614455044270e-04,5.802320928371348385e-01
2.817895729094743729e-04,5.802320928371348385e-01
2.826863492373377085e-04,5.812324929971989240e-01
2.835858031176030636e-04,5.812324929971989240e-01
2.849401498679071665e-04,5.852340936374550440e-01
2.858465304598212242e-04,5.852340936374550440e-01
2.867557632271200418e-04,5.852340936374550440e-01
2.876679354812949896e-04,5.852340936374550440e-01
2.885830472223460674e-04,5.852340936374550440e-01
2.899619867093861103e-04,5.882352941176470784e-01
2.908860915340483189e-04,5.882352941176470784e-01
2.918141253758221865e-04,5.882352941176470784e-01
2.927461755461990833e-04,5.892356942777110529e-01
2.936823293566703796e-04,5.892356942777110529e-01
2.946227323263883591e-04,5.892356942777110529e-01
2.955681993626058102e-04,5.912364945978391129e-01
2.969972556456923485e-04,5.912364945978391129e-01
2.979586133733391762e-04,5.942376950780312583e-01
2.989272470586001873e-04,5.942376950780312583e-01
2.999033313244581223e-04,5.942376950780312583e-01
3.008870407938957214e-04,5.942376950780312583e-01
3.018786374013870955e-04,5.942376950780312583e-01
3.028782666660845280e-04,5.952380952380952328e-01
3.038861614186316729e-04,5.962384953981593183e-01
3.049025544896721840e-04,5.992396958783513528e-01
3.059276496060192585e-04,5.992396958783513528e-01
3.069617087021470070e-04,5.992396958783513528e-01
3.074821725022047758e-04,5.992396958783513528e-01
3.085300850216299295e-04,6.022408963585433872e-01
3.095876018051058054e-04,6.022408963585433872e-01
3.106549556832760572e-04,6.022408963585433872e-01
3.117324376944452524e-04,6.102440976390556271e-01
3.128203679807484150e-04,6.102440976390556271e-01
3.139189793728291988e-04,6.102440976390556271e-01
3.144724178127944469e-04,6.102440976390556271e-01
3.155877056997269392e-04,6.102440976390556271e-01
3.167144895996898413e-04,6.102440976390556271e-01
3.178530896548181772e-04,6.142456982793117470e-01
3.184269298799335957e-04,6.142456982793117470e-01
3.195821191184222698e-04,6.152460984393757215e-01
3.207408881280571222e-04,6.152460984393757215e-01
3.219026839360594749e-04,6.152460984393757215e-01
3.224847896490246058e-04,6.152460984393757215e-01
3.236513875890523195e-04,6.152460984393757215e-01
