t,P_c,u_c,R_c
8.000012e-03,1.427523e+02,-1.014024e+03,1.043476e-01
8.050012e-03,1.430081e+02,-1.011882e+03,1.043476e-01
8.100012e-03,1.440482e+02,-1.012738e+03,1.043476e-01
8.150012e-03,1.447373e+02,-1.013645e+03,1.043476e-01
8.200012e-03,1.450168e+02,-1.011717e+03,1.043476e-01
8.250013e-03,1.438997e+02,-1.010419e+03,1.043476e-01
8.300013e-03,1.406510e+02,-1.008174e+03,1.043476e-01
8.350013e-03,1.390215e+02,-1.005015e+03,1.043476e-01
8.400014e-03,1.414316e+02,-1.005922e+03,1.043476e-01
8.450015e-03,1.435391e+02,-1.005009e+03,1.043476e-01
8.500014e-03,1.439408e+02,-1.005283e+03,1.043476e-01
8.550015e-03,1.438391e+02,-1.003999e+03,1.043476e-01
8.600015e-03,1.415345e+02,-1.002294e+03,1.043476e-01
8.650014e-03,1.372801e+02,-9.983544e+02,1.043476e-01
8.700014e-03,1.336245e+02,-9.949688e+02,1.043476e-01
8.750015e-03,1.314052e+02,-9.915016e+02,1.043476e-01
8.800016e-03,1.271990e+02,-9.863212e+02,1.043476e-01
8.850016e-03,1.225855e+02,-9.814723e+02,1.043476e-01
8.900016e-03,1.167178e+02,-9.760096e+02,1.043476e-01
8.950016e-03,1.109350e+02,-9.700362e+02,1.043476e-01
9.000015e-03,1.071408e+02,-9.658845e+02,1.043476e-01
9.050016e-03,1.042069e+02,-9.625190e+02,1.043476e-01
9.100016e-03,9.872686e+01,-9.572781e+02,1.043476e-01
9.150018e-03,9.476109e+01,-9.518865e+02,1.043476e-01
9.200017e-03,9.160357e+01,-9.469155e+02,1.043476e-01
9.250017e-03,8.915598e+01,-9.418506e+02,1.043476e-01
9.300017e-03,8.989737e+01,-9.410736e+02,1.043476e-01
9.350017e-03,8.828028e+01,-9.385333e+02,1.043476e-01
9.400018e-03,8.458622e+01,-9.334324e+02,1.043476e-01
9.450017e-03,8.308626e+01,-9.295694e+02,1.043476e-01
9.500019e-03,8.232030e+01,-9.270787e+02,1.043476e-01
9.550019e-03,8.067974e+01,-9.239133e+02,1.043476e-01
9.600018e-03,7.861989e+01,-9.209400e+02,1.043476e-01
9.650018e-03,7.633796e+01,-9.166939e+02,1.043476e-01
9.700018e-03,7.379846e+01,-9.123264e+02,1.043476e-01
9.750018e-03,7.310598e+01,-9.093651e+02,1.043476e-01
9.800018e-03,6.994241e+01,-9.052068e+02,1.043476e-01
9.850020e-03,6.695796e+01,-8.994716e+02,1.043476e-01
9.900019e-03,6.645251e+01,-8.979830e+02,1.043476e-01
9.950018e-03,6.505693e+01,-8.949451e+02,1.043476e-01
1.000002e-02,6.243265e+01,-8.906030e+02,1.043476e-01
1.005002e-02,6.144399e+01,-8.873753e+02,1.043476e-01
1.010002e-02,6.012398e+01,-8.853008e+02,1.043476e-01
1.015002e-02,5.770799e+01,-8.806588e+02,1.043476e-01
1.020002e-02,5.489725e+01,-8.748320e+02,1.043476e-01
1.025002e-02,5.395873e+01,-8.718693e+02,1.043476e-01
1.030002e-02,5.248320e+01,-8.684114e+02,1.043476e-01
1.035002e-02,5.052231e+01,-8.647803e+02,1.043476e-01
1.040002e-02,5.005741e+01,-8.635667e+02,1.043476e-01
1.045002e-02,4.893881e+01,-8.620916e+02,1.043476e-01
1.050002e-02,4.763887e+01,-8.592609e+02,1.043476e-01
1.055002e-02,4.560671e+01,-8.554139e+02,1.043476e-01
1.060002e-02,4.384921e+01,-8.522362e+02,1.043476e-01
1.065002e-02,4.275163e+01,-8.504022e+02,1.043476e-01
1.070002e-02,4.141322e+01,-8.488607e+02,1.043476e-01
1.075002e-02,3.920382e+01,-8.444728e+02,1.043476e-01
1.080002e-02,3.746380e+01,-8.399704e+02,1.043476e-01
1.085002e-02,3.719288e+01,-8.386519e+02,1.043476e-01
1.090002e-02,3.648928e+01,-8.368636e+02,1.043476e-01
1.095002e-02,3.587654e+01,-8.355155e+02,1.043476e-01
1.100002e-02,3.466854e+01,-8.333834e+02,1.043476e-01
1.105002e-02,3.295374e+01,-8.286550e+02,1.043476e-01
1.110002e-02,3.215064e+01,-8.263115e+02,1.043476e-01
1.115002e-02,3.218630e+01,-8.263712e+02,1.043476e-01
1.120002e-02,3.119804e+01,-8.239468e+02,1.043476e-01
1.125003e-02,2.972085e+01,-8.198832e+02,1.043476e-01
1.130003e-02,2.868160e+01,-8.164957e+02,1.043476e-01
1.135002e-02,2.818166e+01,-8.148391e+02,1.043476e-01
1.140002e-02,2.753546e+01,-8.128583e+02,1.043476e-01
1.145002e-02,2.643764e+01,-8.092276e+02,1.043476e-01
1.150002e-02,2.587310e+01,-8.067498e+02,1.043476e-01
1.155002e-02,2.546129e+01,-8.057800e+02,1.043476e-01
